,Artista,link
77,Lauren Henderson,https://www.bandsintown.com/a/1579811?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
78,Ainda,https://www.bandsintown.com/a/1203305?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
79,sapphic factory,https://www.bandsintown.com/a/15524897?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
80,Melissa Ouimet,https://www.bandsintown.com/a/1849655?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
81,Cassidy-Rae,https://www.bandsintown.com/a/2411611?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
82,New Translations,https://www.bandsintown.com/a/1432408?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
83,Alan Frew,https://www.bandsintown.com/a/403775?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
84,Beautiful Machines,https://www.bandsintown.com/a/934298?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
85,Tyler Blinn,https://www.bandsintown.com/a/10671602?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
86,Michael J Thomas,https://www.bandsintown.com/a/1282953?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
87,Rosa Karina,https://www.bandsintown.com/a/4035210?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
88,Marem Ladson,https://www.bandsintown.com/a/12857923?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
89,Linas Adomaitis,https://www.bandsintown.com/a/473831?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
90,Hayes Warner,https://www.bandsintown.com/a/15504119?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
91,ESCARLATA,https://www.bandsintown.com/a/2439042?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
92,Paul Allen,https://www.bandsintown.com/a/880122?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
93,Victoria Celestine,https://www.bandsintown.com/a/2898848?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
94,Yacht Lobsters,https://www.bandsintown.com/a/15511260?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
95,Alana Wilkinson,https://www.bandsintown.com/a/1882411?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
96,Conor and the Wild Hunt,https://www.bandsintown.com/a/15093799?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
97,Cheap Tobacco,https://www.bandsintown.com/a/1694911?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
98,Izarry,https://www.bandsintown.com/a/1165063?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
